4201	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1607	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1529	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
6604	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1703	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2221021	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
4401	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1621	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1523002	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
1622	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1523001	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
1121	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1015001	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
1402	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1523	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1321	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1101	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1302	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1231	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1524	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1521	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1131	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1401	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1122	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1123	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1404	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1001	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1527	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1461	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
6603001	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
2221017	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
