1001	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
120101	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
1216	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1302	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1502	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1613	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1801	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1802	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1832	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2001	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2301	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1212	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2401	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1002	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1201	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1215	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1301	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1501	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1611	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1703	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
2101	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1811	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1831	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1891	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1902	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2102	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
2201	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
2302	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2304	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2501	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1101	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1211	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1219	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1401	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1602	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1702	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
660901	BWB	0	0	0	0	0	0	2	0	0	0	0	0	2026
1821	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1901	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2103	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2303	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2305	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2502	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1021	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
120102	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
1218	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
1303	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1601	BWB	0	0	0	0	0	0	1	0	0	0	0	0	2026
1701	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2307	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2601	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
2901	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
3001	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
3101	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
3201	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
3301	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
3302	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
3401	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
3501	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
800102	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
60010102	BWB	0	0	0	0	1	0	3	0	0	0	0	0	2026
600102	BWB	0	0	0	0	1	0	2	0	0	0	0	0	2026
4101	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4201	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4301	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4401	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4601	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4602	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4603	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4604	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
4605	BWB	0	0	0	0	1	0	1	0	0	0	0	0	2026
